Threshold,Erode,Dilate,Score,FPS
61,1,8,64.5477,0.315634
61,1,9,67.1152,0.29497
61,1,10,66.3133,0.312777
61,2,1,66.3296,0.192806
61,2,2,65.4461,0.200639
61,2,3,63.6748,0.225266
61,2,4,65.4494,0.249735
61,2,5,66.3316,0.270853
61,2,6,65.4246,0.282931
61,2,7,61.8937,0.315493
61,2,8,65.4358,0.313784
61,2,9,67.1792,0.319787
61,2,10,64.5462,0.30316
61,3,1,64.5529,0.205671
61,3,2,64.5617,0.203784
61,3,3,65.4456,0.203622
61,3,4,63.6658,0.222796
61,3,5,63.668,0.238527
61,3,6,65.4532,0.263483
61,3,7,66.318,0.27726
61,3,8,64.5398,0.304394
61,3,9,62.7773,0.290683
61,3,10,62.7758,0.303853
61,4,1,65.4277,0.207473
61,4,2,64.5538,0.213119
61,4,3,68.1071,0.206623
61,4,4,65.4511,0.209139
61,4,5,65.4493,0.226921
61,4,6,63.6899,0.245936
61,4,7,68.1115,0.259693
61,4,8,64.5389,0.270834
61,4,9,60.9619,0.289855
61,4,10,62.7794,0.299902
61,5,1,63.6787,0.204373
61,5,2,64.5626,0.222017
61,5,3,64.5506,0.215296
61,5,4,65.4505,0.2095
61,5,5,65.4528,0.207324
61,5,6,63.6698,0.227268
61,5,7,66.3466,0.253477
61,5,8,65.4558,0.249685
61,5,9,64.5501,0.258688
61,5,10,62.7733,0.259914
61,6,1,64.5637,0.210483
61,6,2,64.5635,0.232855
61,6,3,65.4311,0.207077
61,6,4,64.5501,0.221834
61,6,5,66.3335,0.207701
61,6,6,64.5583,0.208842
61,6,7,64.5624,0.224858
61,6,8,63.6964,0.242677
61,6,9,66.3349,0.237795
61,6,10,67.1994,0.25148
61,7,1,63.669,0.207404
61,7,2,61.012,0.23286
61,7,3,62.783,0.216475
61,7,4,64.5564,0.217266
61,7,5,63.6529,0.216687
61,7,6,65.4421,0.211401
61,7,7,67.2226,0.210805
61,7,8,63.6805,0.221782
61,7,9,65.4619,0.230928
61,7,10,63.6877,0.236555
61,8,1,62.7848,0.199618
61,8,2,65.4381,0.2194
61,8,3,60.133,0.225127
61,8,4,65.4374,0.226
61,8,5,66.3174,0.207935
61,8,6,61.0251,0.211081
61,8,7,63.6838,0.211207
61,8,8,63.6838,0.209721
61,8,9,63.679,0.217559
61,8,10,65.4655,0.227795
61,9,1,64.5539,0.194532
61,9,2,62.7769,0.203428
61,9,3,65.4401,0.211845
61,9,4,60.1329,0.237021
61,9,5,63.6714,0.228935
61,9,6,64.5479,0.218704
61,9,7,62.789,0.211504
61,9,8,64.557,0.205627
61,9,9,62.7959,0.206332
61,9,10,64.5553,0.213055
61,10,1,65.4369,0.194315
61,10,2,64.5535,0.202158
61,10,3,65.4388,0.203523
61,10,4,65.4396,0.212654
61,10,5,65.4389,0.216995
61,10,6,65.4313,0.206178
61,10,7,63.6622,0.206846
61,10,8,66.3323,0.205052
61,10,9,65.4421,0.199368
61,10,10,64.5608,0.201125
73,1,1,65.4399,0.172044
73,1,2,66.3264,0.196885
73,1,3,66.3191,0.226172
73,1,4,66.3321,0.238593
73,1,5,64.57,0.258937
73,1,6,65.4345,0.260531
73,1,7,66.2777,0.274912
73,1,8,65.4334,0.266528
73,1,9,64.5488,0.277532
73,1,10,63.6658,0.279267
73,2,1,65.441,0.17878
73,2,2,64.5556,0.185049
73,2,3,65.4444,0.210197
73,2,4,64.5636,0.239078
73,2,5,65.4556,0.247357
73,2,6,65.4573,0.280223
73,2,7,64.5515,0.281346
73,2,8,64.5485,0.290227
73,2,9,66.3097,0.270115
73,2,10,65.4358,0.265022
73,3,1,64.5484,0.18802
73,3,2,63.6663,0.192501
73,3,3,65.4372,0.194115
73,3,4,63.6714,0.217429
73,3,5,64.5483,0.240682
73,3,6,61.9144,0.252136
73,3,7,63.6853,0.285815
73,3,8,66.3257,0.284034
73,3,9,63.6704,0.274612
73,3,10,65.4363,0.272848
73,4,1,64.5535,0.200522
73,4,2,65.4265,0.196734
73,4,3,65.4383,0.199904
73,4,4,66.3203,0.199207
73,4,5,64.5493,0.216326
73,4,6,62.7686,0.253955
73,4,7,67.2191,0.252587
73,4,8,62.7972,0.2738
73,4,9,64.5505,0.26996
73,4,10,68.0899,0.282479
73,5,1,65.4363,0.201096
73,5,2,64.5491,0.207161
73,5,3,63.6603,0.204666
73,5,4,65.435,0.20611
73,5,5,65.43,0.199851
73,5,6,65.4362,0.222783
