Blur,XOrder,YOrder,Sobel Kernel,Score,FPS
5,1,4,5,52.8151,1.78882
5,1,4,7,58.8851,1.85672
5,2,1,1,60.4284,1.80223
5,2,1,3,60.4284,1.80022
5,2,1,5,61.7335,1.87926
5,2,1,7,61.7597,1.92767
5,2,2,1,49.0979,1.89058
5,2,2,3,49.0979,1.89502
5,2,2,5,61.7139,1.87055
5,2,2,7,58.474,1.85246
5,2,3,1,34.5133,0
5,2,3,3,34.5133,0
5,2,3,5,55.746,1.85307
5,2,3,7,61.6685,1.86069
5,2,4,1,34.5133,0
5,2,4,3,34.5133,0
5,2,4,5,52.6102,1.76673
5,2,4,7,52.9531,1.86715
5,3,1,1,34.5133,0
5,3,1,3,34.5133,0
5,3,1,5,60.5099,1.87303
5,3,1,7,61.2421,1.85733
5,3,2,1,34.5133,0
5,3,2,3,34.5133,0
5,3,2,5,53.4209,1.84973
5,3,2,7,60.8208,1.85642
5,3,3,1,34.5133,0
5,3,3,3,34.5133,0
5,3,3,5,52.0198,1.87117
5,3,3,7,56.8988,1.87024
5,3,4,1,34.5133,0
5,3,4,3,34.5133,0
5,3,4,5,48.6362,1.81032
5,3,4,7,51.054,1.87676
5,4,1,1,34.5133,0
5,4,1,3,34.5133,0
5,4,1,5,51.8733,1.80974
5,4,1,7,58.7581,1.86376
5,4,2,1,34.5133,0
5,4,2,3,34.5133,0
5,4,2,5,49.4857,1.77897
5,4,2,7,53.5148,1.86161
5,4,3,1,34.5133,0
5,4,3,3,34.5133,0
5,4,3,5,49.3588,1.81148
5,4,3,7,49.0139,1.86623
5,4,4,1,34.5133,0
5,4,4,3,34.5133,0
5,4,4,5,50.8577,1.84189
5,4,4,7,50.1266,1.86346
6,1,1,1,62.5587,1.91916
6,1,1,3,62.5587,1.90975
6,1,1,5,59.8188,2.786
6,1,1,7,59.0638,1.95299
6,1,2,1,56.5091,1.79422
6,1,2,3,56.5091,1.79508
6,1,2,5,61.3075,1.838
6,1,2,7,61.7648,1.90396
6,1,3,1,34.5133,0
6,1,3,3,34.5133,0
6,1,3,5,60.5454,1.86746
6,1,3,7,59.2162,1.85428
6,1,4,1,34.5133,0
6,1,4,3,34.5133,0
6,1,4,5,49.9172,1.80396
6,1,4,7,54.4556,1.86254
6,2,1,1,57.1047,1.80569
6,2,1,3,57.1047,1.79109
6,2,1,5,61.066,1.82435
6,2,1,7,58.722,1.91007
6,2,2,1,50.9567,1.9159
6,2,2,3,50.9567,1.91137
6,2,2,5,58.6879,1.8749
6,2,2,7,61.8477,1.8365
6,2,3,1,34.5133,0
6,2,3,3,34.5133,0
6,2,3,5,49.384,1.85185
6,2,3,7,58.1279,1.85672
6,2,4,1,34.5133,0
6,2,4,3,34.5133,0
6,2,4,5,51.3005,1.77394
6,2,4,7,50.3899,1.86469
6,3,1,1,34.5133,0
6,3,1,3,34.5133,0
6,3,1,5,59.6891,1.84761
6,3,1,7,59.9485,1.85185
6,3,2,1,34.5133,0
6,3,2,3,34.5133,0
6,3,2,5,49.0724,1.85398
6,3,2,7,55.696,1.86254
6,3,3,1,34.5133,0
6,3,3,3,34.5133,0
6,3,3,5,50.1494,1.86346
6,3,3,7,52.6,1.87459
6,3,4,1,34.5133,0
6,3,4,3,34.5133,0
6,3,4,5,51.031,1.8031
6,3,4,7,49.7667,1.85276
6,4,1,1,34.5133,0
6,4,1,3,34.5133,0
6,4,1,5,50.0843,1.80771
6,4,1,7,52.2652,1.8777
6,4,2,1,34.5133,0
6,4,2,3,34.5133,0
6,4,2,5,50.3366,1.77897
6,4,2,7,52.0275,1.86623
6,4,3,1,34.5133,0
6,4,3,3,34.5133,0
6,4,3,5,49.7203,1.80367
6,4,3,7,49.6996,1.85855
6,4,4,1,34.5133,0
6,4,4,3,34.5133,0
6,4,4,5,51.952,1.83859
6,4,4,7,50.2682,1.86684
7,1,1,1,60.6972,1.87241
7,1,1,3,60.6972,1.87024
7,1,1,5,60.5043,2.87312
7,1,1,7,58.7502,1.94258
7,1,2,1,51.4851,1.79451
7,1,2,3,51.4851,1.7928
7,1,2,5,59.8425,1.80713
7,1,2,7,59.4188,1.87303
7,1,3,1,34.5133,0
7,1,3,3,34.5133,0
7,1,3,5,57.4576,1.8749
7,1,3,7,59.0646,1.86561
7,1,4,1,34.5133,0
7,1,4,3,34.5133,0
7,1,4,5,49.7272,1.80916
7,1,4,7,55.3311,1.86653
7,2,1,1,56.0822,1.81643
7,2,1,3,56.0822,1.81701
7,2,1,5,62.8081,1.83204
7,2,1,7,59.7357,1.87148
7,2,2,1,51.8533,1.93394
7,2,2,3,51.8533,1.92373
7,2,2,5,54.7767,1.86962
7,2,2,7,59.4842,1.8176
7,2,3,1,34.5133,0
7,2,3,3,34.5133,0
7,2,3,5,27.4854,1.84009
7,2,3,7,55.3,1.85459
7,2,4,1,34.5133,0
7,2,4,3,34.5133,0
7,2,4,5,50.6191,1.77701
7,2,4,7,51.0187,1.87334
7,3,1,1,34.5133,0
7,3,1,3,34.5133,0
7,3,1,5,55.6617,1.84219
7,3,1,7,58.5424,1.85185
7,3,2,1,34.5133,0
7,3,2,3,34.5133,0
7,3,2,5,49.1158,1.84039
7,3,2,7,51.5049,1.85611
7,3,3,1,34.5133,0
7,3,3,3,34.5133,0
7,3,3,5,49.3728,1.85307
7,3,3,7,51.7974,1.85886
7,3,4,1,34.5133,0
7,3,4,3,34.5133,0
7,3,4,5,-74.0486,1.79251
7,3,4,7,48.5863,1.84912
7,4,1,1,34.5133,0
7,4,1,3,34.5133,0
7,4,1,5,49.1175,1.80137
7,4,1,7,54.1441,1.87024
7,4,2,1,34.5133,0
7,4,2,3,34.5133,0
7,4,2,5,48.3136,1.77617
7,4,2,7,50.3393,1.85125
7,4,3,1,34.5133,0
7,4,3,3,34.5133,0
7,4,3,5,51.0323,1.79736
7,4,3,7,49.4631,1.85886
7,4,4,1,34.5133,0
7,4,4,3,34.5133,0
7,4,4,5,50.2134,1.82937
7,4,4,7,51.6958,1.85034
8,1,1,1,62.5075,1.87583
8,1,1,3,62.5075,1.87864
8,1,1,5,59.5536,3.11209
8,1,1,7,57.3043,1.928
8,1,2,1,54.1746,1.78571
8,1,2,3,54.1746,1.78826
8,1,2,5,59.477,1.82405
8,1,2,7,58.0361,1.86839
8,1,3,1,34.5133,0
8,1,3,3,34.5133,0
8,1,3,5,52.4311,1.87365
8,1,3,7,57.3078,1.85307
8,1,4,1,34.5133,0
8,1,4,3,34.5133,0
8,1,4,5,50.6037,1.82053
8,1,4,7,52.7769,1.861
8,2,1,1,52.6971,1.80338
8,2,1,3,52.6971,1.8031
8,2,1,5,58.1316,1.83323
8,2,1,7,59.2119,1.86592
8,2,2,1,53.1838,1.93692
8,2,2,3,53.1838,1.94492
8,2,2,5,52.6616,1.85581
8,2,2,7,56.4716,1.8455
8,2,3,1,34.5133,0
8,2,3,3,34.5133,0
8,2,3,5,48.8757,1.8377
8,2,3,7,52.9719,1.84701
8,2,4,1,34.5133,0
8,2,4,3,34.5133,0
8,2,4,5,53.5012,1.75903
8,2,4,7,49.7674,1.84249
8,3,1,1,34.5133,0
8,3,1,3,34.5133,0
8,3,1,5,50.3587,1.84339
8,3,1,7,55.2797,1.86438
8,3,2,1,34.5133,0
8,3,2,3,34.5133,0
8,3,2,5,49.5483,1.84882
8,3,2,7,52.0379,1.84039
8,3,3,1,34.5133,0
8,3,3,3,34.5133,0
8,3,3,5,52.1545,1.84973
8,3,3,7,51.1523,1.8653
8,3,4,1,34.5133,0
8,3,4,3,34.5133,0
8,3,4,5,48.4743,1.78459
8,3,4,7,51.403,1.85642
8,4,1,1,34.5133,0
8,4,1,3,34.5133,0
8,4,1,5,50.5935,1.808
8,4,1,7,52.8595,1.86069
8,4,2,1,34.5133,0
8,4,2,3,34.5133,0
8,4,2,5,49.4838,1.79024
8,4,2,7,50.5636,1.84039
8,4,3,1,34.5133,0
8,4,3,3,34.5133,0
8,4,3,5,50.1341,1.80022
8,4,3,7,48.763,1.8449
8,4,4,1,34.5133,0
8,4,4,3,34.5133,0
8,4,4,5,51.3488,1.8461
8,4,4,7,25.1257,1.85034
9,1,1,1,62.4915,1.90108
9,1,1,3,62.4915,1.89788
9,1,1,5,61.3906,2.39966
9,1,1,7,60.3321,1.91363
9,1,2,1,54.1492,1.79166
9,1,2,3,54.1492,1.79508
9,1,2,5,56.217,1.82848
9,1,2,7,60.0391,1.86039
9,1,3,1,34.5133,0
9,1,3,3,34.5133,0
9,1,3,5,52.7299,1.88271
9,1,3,7,54.7177,1.88145
9,1,4,1,34.5133,0
9,1,4,3,34.5133,0
9,1,4,5,51.7329,1.838
9,1,4,7,52.6043,1.86993
9,2,1,1,50.3444,1.81847
9,2,1,3,50.3444,1.81935
9,2,1,5,60.9495,1.83085
9,2,1,7,62.1085,1.85978
9,2,2,1,54.836,1.90428
9,2,2,3,54.836,1.91137
9,2,2,5,51.4757,1.8777
9,2,2,7,57.4817,1.83889
9,2,3,1,34.5133,0
9,2,3,3,34.5133,0
9,2,3,5,50.4194,1.82612
9,2,3,7,50.589,1.84369
9,2,4,1,34.5133,0
9,2,4,3,34.5133,0
9,2,4,5,50.3262,1.78233
9,2,4,7,47.4625,1.83919
9,3,1,1,34.5133,0
9,3,1,3,34.5133,0
9,3,1,5,48.8631,1.86315
9,3,1,7,56.5893,1.86499
9,3,2,1,34.5133,0
9,3,2,3,34.5133,0
9,3,2,5,48.695,1.83144
9,3,2,7,49.176,1.8452
9,3,3,1,34.5133,0
9,3,3,3,34.5133,0
9,3,3,5,51.2978,1.82494
9,3,3,7,49.6507,1.86499
9,3,4,1,34.5133,0
9,3,4,3,34.5133,0
9,3,4,5,51.9376,1.79308
9,3,4,7,51.178,1.83382
9,4,1,1,34.5133,0
9,4,1,3,34.5133,0
9,4,1,5,54.3092,1.81643
9,4,1,7,50.6855,1.87241
9,4,2,1,34.5133,0
9,4,2,3,34.5133,0
9,4,2,5,50.138,1.79736
9,4,2,7,50.1416,1.83412
9,4,3,1,34.5133,0
9,4,3,3,34.5133,0
9,4,3,5,48.4965,1.79707
9,4,3,7,50.4485,1.84882
9,4,4,1,34.5133,0
9,4,4,3,34.5133,0
9,4,4,5,50.8299,1.83531
9,4,4,7,52.012,1.82996
10,1,1,1,61.2448,1.9046
10,1,1,3,61.2448,1.91623
10,1,1,5,60.8398,2.45119
10,1,1,7,59.5517,1.9221
10,1,2,1,51.9271,1.80655
10,1,2,3,51.9271,1.80945
10,1,2,5,57.1375,1.81497
10,1,2,7,60.5247,1.8749
10,1,3,1,34.5133,0
10,1,3,3,34.5133,0
10,1,3,5,50.1435,1.89438
10,1,3,7,53.8414,1.87303
10,1,4,1,34.5133,0
10,1,4,3,34.5133,0
10,1,4,5,51.7733,1.83979
10,1,4,7,51.9407,1.86161
10,2,1,1,50.6751,1.82523
10,2,1,3,50.6751,1.82582
10,2,1,5,60.3664,1.83323
10,2,1,7,62.8495,1.87427
10,2,2,1,52.9943,1.87645
10,2,2,3,52.9943,1.88585
10,2,2,5,51.0774,1.86653
10,2,2,7,56.6057,1.81994
10,2,3,1,34.5133,0
10,2,3,3,34.5133,0
10,2,3,5,50.1364,1.83323
10,2,3,7,49.9879,1.84822
10,2,4,1,34.5133,0
10,2,4,3,34.5133,0
10,2,4,5,52.2715,1.79422
10,2,4,7,49.9708,1.84129
10,3,1,1,34.5133,0
10,3,1,3,34.5133,0
10,3,1,5,52.565,1.8377
10,3,1,7,54.1715,1.87148
10,3,2,1,34.5133,0
10,3,2,3,34.5133,0
10,3,2,5,49.1324,1.84129
10,3,2,7,49.3539,1.84159
10,3,3,1,34.5133,0
10,3,3,3,34.5133,0
10,3,3,5,52.0259,1.84641
10,3,3,7,50.3018,1.89185
10,3,4,1,34.5133,0
10,3,4,3,34.5133,0
10,3,4,5,50.0974,1.79337
10,3,4,7,52.6186,1.85216
10,4,1,1,34.5133,0
10,4,1,3,34.5133,0
10,4,1,5,52.9375,1.838
10,4,1,7,50.9375,1.86839
10,4,2,1,34.5133,0
10,4,2,3,34.5133,0
10,4,2,5,53.3764,1.81555
10,4,2,7,48.69,1.8455
10,4,3,1,34.5133,0
10,4,3,3,34.5133,0
10,4,3,5,50.6259,1.80051
10,4,3,7,50.6472,1.85672
10,4,4,1,34.5133,0
10,4,4,3,34.5133,0
10,4,4,5,52.5251,1.84852
10,4,4,7,50.7905,1.83233
11,1,1,1,61.706,1.93759
11,1,1,3,61.706,1.93659
11,1,1,5,62.0871,2.90265
11,1,1,7,60.1595,1.93162
11,1,2,1,51.8786,1.827
11,1,2,3,51.8786,1.827
11,1,2,5,54.9889,1.83174
11,1,2,7,61.7489,1.85367
11,1,3,1,34.5133,0
11,1,3,3,34.5133,0
11,1,3,5,51.1065,1.89629
11,1,3,7,53.9523,1.87365
11,1,4,1,34.5133,0
11,1,4,3,34.5133,0
11,1,4,5,54.5459,1.83979
11,1,4,7,51.5982,1.87739
11,2,1,1,50.5477,1.83561
11,2,1,3,50.5477,1.83591
11,2,1,5,58.2476,1.8273
11,2,1,7,62.0166,1.88271
11,2,2,1,53.7792,1.8365
11,2,2,3,53.7792,1.838
11,2,2,5,50.3492,1.87521
11,2,2,7,56.7781,1.81818
11,2,3,1,34.5133,0
11,2,3,3,34.5133,0
11,2,3,5,49.5887,1.83919
11,2,3,7,50.9589,1.85489
11,2,4,1,34.5133,0
11,2,4,3,34.5133,0
11,2,4,5,50.7116,1.79251
11,2,4,7,48.8129,1.83144
11,3,1,1,34.5133,0
11,3,1,3,34.5133,0
11,3,1,5,50.2129,1.85034
11,3,1,7,55.3235,1.87801
11,3,2,1,34.5133,0
11,3,2,3,34.5133,0
11,3,2,5,48.1201,1.8374
11,3,2,7,48.3688,1.85581
11,3,3,1,34.5133,0
11,3,3,3,34.5133,0
11,3,3,5,51.8319,1.83979
11,3,3,7,51.0327,1.87895
11,3,4,1,34.5133,0
11,3,4,3,34.5133,0
11,3,4,5,52.3374,1.79593
11,3,4,7,52.0766,1.83323
11,4,1,1,34.5133,0
11,4,1,3,34.5133,0
11,4,1,5,50.8749,1.84039
11,4,1,7,52.9753,1.87117
11,4,2,1,34.5133,0
11,4,2,3,34.5133,0
11,4,2,5,51.141,1.82789
11,4,2,7,47.0572,1.83919
11,4,3,1,34.5133,0
11,4,3,3,34.5133,0
11,4,3,5,51.0836,1.79707
11,4,3,7,51.1011,1.84339
11,4,4,1,34.5133,0
11,4,4,3,34.5133,0
11,4,4,5,56.0849,1.87086
11,4,4,7,51.0011,1.82199
12,1,1,1,60.4759,1.93526
12,1,1,3,60.4759,1.93626
12,1,1,5,61.3173,2.2501
12,1,1,7,58.1845,1.92932
12,1,2,1,53.5207,1.83233
12,1,2,3,53.5207,1.84129
12,1,2,5,54.2716,1.8458
12,1,2,7,59.2121,1.86561
12,1,3,1,34.5133,0
12,1,3,3,34.5133,0
12,1,3,5,51.4058,1.86192
12,1,3,7,56.5002,1.88365
12,1,4,1,34.5133,0
12,1,4,3,34.5133,0
12,1,4,5,53.6028,1.84671
12,1,4,7,51.9356,1.8777
12,2,1,1,51.2731,1.8365
12,2,1,3,51.2731,1.83919
12,2,1,5,55.8434,1.8371
12,2,1,7,62.5173,1.87055
12,2,2,1,52.8089,1.8455
12,2,2,3,52.8089,1.8383
12,2,2,5,49.117,1.88083
12,2,2,7,53.0002,1.83233
12,2,3,1,34.5133,0
12,2,3,3,34.5133,0
12,2,3,5,49.6504,1.85489
12,2,3,7,49.0286,1.85947
12,2,4,1,34.5133,0
12,2,4,3,34.5133,0
12,2,4,5,52.2911,1.81293
12,2,4,7,51.3563,1.84189
12,3,1,1,34.5133,0
12,3,1,3,34.5133,0
12,3,1,5,52.1196,1.83979
12,3,1,7,50.237,1.88333
12,3,2,1,34.5133,0
12,3,2,3,34.5133,0
12,3,2,5,48.7915,1.85916
12,3,2,7,52.0088,1.85642
12,3,3,1,34.5133,0
12,3,3,3,34.5133,0
12,3,3,5,52.0458,1.85611
12,3,3,7,49.3385,1.889
12,3,4,1,34.5133,0
12,3,4,3,34.5133,0
12,3,4,5,43.5783,1.78713
12,3,4,7,51.6807,1.85276
12,4,1,1,34.5133,0
12,4,1,3,34.5133,0
12,4,1,5,51.1458,1.85246
12,4,1,7,50.2578,1.88051
12,4,2,1,34.5133,0
12,4,2,3,34.5133,0
12,4,2,5,50.5163,1.84159
12,4,2,7,51.691,1.84309
12,4,3,1,34.5133,0
12,4,3,3,34.5133,0
12,4,3,5,49.9042,1.79508
12,4,3,7,49.1706,1.85459
12,4,4,1,34.5133,0
12,4,4,3,34.5133,0
12,4,4,5,51.827,1.87521
12,4,4,7,50.7295,1.84822
